DATAFLOW,REF_AREA:Geographic area,INDICATOR:Indicator,SEX:Sex,AGE:Current age,AGE_AT_BIRTH:Age at Birth,WEALTH_QUINTILE:Wealth Quintile,RESIDENCE:Residence,MOTHER_EDUCATION:Mother's Education Level,DATA_SOURCE:Data Source,TIME_PERIOD:Time period,OBS_VALUE:Observation Value,UNIT_MULTIPLIER:Unit multiplier,UNIT_MEASURE:Unit of measure,SERIES_FOOTNOTE:Series footnote,SUB_SECTOR:Sub Sector,SOWC_FLAG_A:SOWC flag A,DATA_SOURCE_PRIORITY:Data source priority,OBS_STATUS:Observation Status,OBS_CONF:Observation confidentaility,LOWER_BOUND:Lower Bound,UPPER_BOUND:Upper Bound,WGTD_SAMPL_SIZE:Weighted Sample Size,UNWGTD_SAMPL_SIZE:Unweighted Sample Size,OBS_FOOTNOTE:Observation footnote,SOURCE_LINK:Citation of or link to the data source,TIME_PERIOD_METHOD:Time period activity related to when the data are collected,COVERAGE_TIME:The period of time for which data are provided
"UNICEF:MNCH(1.0): Maternal, child and newborn health",GIN: Guinea,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,F: Female,Y15T49: 15 to 49 years old,_T: Total,Q4: Fourth,_T: Total,_T: Total,MNCH_SRC_2595: Malaria Indicator Survey 2021,2021,70.2,0: Units,PCNT: %,,ANTENATAL,,1,RP: Reported,F: Free,,,,,,,EOF: End of fieldwork,2005-2021
"UNICEF:MNCH(1.0): Maternal, child and newborn health",GIN: Guinea,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,F: Female,Y15T49: 15 to 49 years old,_T: Total,Q4: Fourth,_T: Total,_T: Total,MNCH_SRC_455: Demographic and Health Survey 2018,2018,48.2,0: Units,PCNT: %,,ANTENATAL,,1,RA: Reanalysed,F: Free,,,,,,"Data downloaded from International Center for Equity in Health, Federal University of Pelotas",EOF: End of fieldwork,2005-2021
"UNICEF:MNCH(1.0): Maternal, child and newborn health",GIN: Guinea,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,F: Female,Y15T49: 15 to 49 years old,_T: Total,Q5: Highest,_T: Total,_T: Total,MNCH_SRC_2595: Malaria Indicator Survey 2021,2021,78.8,0: Units,PCNT: %,,ANTENATAL,,1,RP: Reported,F: Free,,,,,,,EOF: End of fieldwork,2005-2021
"UNICEF:MNCH(1.0): Maternal, child and newborn health",GIN: Guinea,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,F: Female,Y15T49: 15 to 49 years old,_T: Total,Q5: Highest,_T: Total,_T: Total,MNCH_SRC_455: Demographic and Health Survey 2018,2018,58.4,0: Units,PCNT: %,,ANTENATAL,,1,RA: Reanalysed,F: Free,,,,,,"Data downloaded from International Center for Equity in Health, Federal University of Pelotas",EOF: End of fieldwork,2005-2021
"UNICEF:MNCH(1.0): Maternal, child and newborn health",GIN: Guinea,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,F: Female,Y15T49: 15 to 49 years old,_T: Total,_T: Total,R: Rural,_T: Total,MNCH_SRC_2595: Malaria Indicator Survey 2021,2021,50.7,0: Units,PCNT: %,,ANTENATAL,,1,RP: Reported,F: Free,,,,,,,EOF: End of fieldwork,2005-2021
"UNICEF:MNCH(1.0): Maternal, child and newborn health",GIN: Guinea,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,F: Female,Y15T49: 15 to 49 years old,_T: Total,_T: Total,R: Rural,_T: Total,MNCH_SRC_455: Demographic and Health Survey 2018,2018,28.4,0: Units,PCNT: %,,ANTENATAL,,1,RP: Reported,F: Free,,,,,,,EOF: End of fieldwork,2005-2021
"UNICEF:MNCH(1.0): Maternal, child and newborn health",GIN: Guinea,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,F: Female,Y15T49: 15 to 49 years old,_T: Total,_T: Total,U: Urban,_T: Total,MNCH_SRC_2595: Malaria Indicator Survey 2021,2021,78.4,0: Units,PCNT: %,,ANTENATAL,,1,RP: Reported,F: Free,,,,,,,EOF: End of fieldwork,2005-2021
"UNICEF:MNCH(1.0): Maternal, child and newborn health",GIN: Guinea,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,F: Female,Y15T49: 15 to 49 years old,_T: Total,_T: Total,U: Urban,_T: Total,MNCH_SRC_455: Demographic and Health Survey 2018,2018,51.4,0: Units,PCNT: %,,ANTENATAL,,1,RP: Reported,F: Free,,,,,,,EOF: End of fieldwork,2005-2021
"UNICEF:MNCH(1.0): Maternal, child and newborn health",GIN: Guinea,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,F: Female,Y15T49: 15 to 49 years old,_T: Total,_T: Total,_T: Total,_T: Total,MNCH_SRC_2595: Malaria Indicator Survey 2021,2021,58.3,0: Units,PCNT: %,,ANTENATAL,,1,RP: Reported,F: Free,,,,,,,EOF: End of fieldwork,2005-2021
"UNICEF:MNCH(1.0): Maternal, child and newborn health",GIN: Guinea,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,F: Female,Y15T49: 15 to 49 years old,_T: Total,_T: Total,_T: Total,_T: Total,MNCH_SRC_455: Demographic and Health Survey 2018,2018,35.3,0: Units,PCNT: %,,ANTENATAL,,1,RP: Reported,F: Free,,,,,,,EOF: End of fieldwork,2005-2021
"UNICEF:MNCH(1.0): Maternal, child and newborn health",GIN: Guinea,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,Y15T19: 15 to 19 years old,_T: Total,_T: Total,_T: Total,_T: Total,MNCH_SRC_455: Demographic and Health Survey 2018,2018,59.2,0: Units,PCNT: %,,DELIVERY,,1,RP: Reported,F: Free,,,,,,,EOF: End of fieldwork,2003-2018
"UNICEF:MNCH(1.0): Maternal, child and newborn health",GIN: Guinea,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,Y15T49: 15 to 49 years old,_T: Total,Q1: Lowest,_T: Total,_T: Total,MNCH_SRC_455: Demographic and Health Survey 2018,2018,26.5,0: Units,PCNT: %,,DELIVERY,,1,RP: Reported,F: Free,,,,,,,EOF: End of fieldwork,2003-2018
"UNICEF:MNCH(1.0): Maternal, child and newborn health",GIN: Guinea,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,Y15T49: 15 to 49 years old,_T: Total,Q2: Second,_T: Total,_T: Total,MNCH_SRC_455: Demographic and Health Survey 2018,2018,40.5,0: Units,PCNT: %,,DELIVERY,,1,RP: Reported,F: Free,,,,,,,EOF: End of fieldwork,2003-2018
"UNICEF:MNCH(1.0): Maternal, child and newborn health",GIN: Guinea,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,Y15T49: 15 to 49 years old,_T: Total,Q3: Middle,_T: Total,_T: Total,MNCH_SRC_455: Demographic and Health Survey 2018,2018,50.9,0: Units,PCNT: %,,DELIVERY,,1,RP: Reported,F: Free,,,,,,,EOF: End of fieldwork,2003-2018
"UNICEF:MNCH(1.0): Maternal, child and newborn health",GIN: Guinea,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,Y15T49: 15 to 49 years old,_T: Total,Q4: Fourth,_T: Total,_T: Total,MNCH_SRC_455: Demographic and Health Survey 2018,2018,82.1,0: Units,PCNT: %,,DELIVERY,,1,RP: Reported,F: Free,,,,,,,EOF: End of fieldwork,2003-2018
"UNICEF:MNCH(1.0): Maternal, child and newborn health",GIN: Guinea,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,Y15T49: 15 to 49 years old,_T: Total,Q5: Highest,_T: Total,_T: Total,MNCH_SRC_455: Demographic and Health Survey 2018,2018,94.9,0: Units,PCNT: %,,DELIVERY,,1,RP: Reported,F: Free,,,,,,,EOF: End of fieldwork,2003-2018
"UNICEF:MNCH(1.0): Maternal, child and newborn health",GIN: Guinea,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,Y15T49: 15 to 49 years old,_T: Total,_T: Total,R: Rural,_T: Total,MNCH_SRC_455: Demographic and Health Survey 2018,2018,40.7,0: Units,PCNT: %,,DELIVERY,,1,RP: Reported,F: Free,,,,,,,EOF: End of fieldwork,2003-2018
"UNICEF:MNCH(1.0): Maternal, child and newborn health",GIN: Guinea,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,Y15T49: 15 to 49 years old,_T: Total,_T: Total,U: Urban,_T: Total,MNCH_SRC_455: Demographic and Health Survey 2018,2018,92,0: Units,PCNT: %,,DELIVERY,,1,RP: Reported,F: Free,,,,,,,EOF: End of fieldwork,2003-2018
"UNICEF:MNCH(1.0): Maternal, child and newborn health",GIN: Guinea,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,Y15T49: 15 to 49 years old,_T: Total,_T: Total,_T: Total,_T: Total,MNCH_SRC_984: Enquête Démographique et de Santé en Guinée 2018. Conakry; Rockville; Maryland: Institut National de la Statistique (INS); ICF; 2018 (in French).,2018,55.3,0: Units,PCNT: %,,DELIVERY,,1,RP: Reported,F: Free,,,,,"Definition includes other cadres that is not in alignment with the standard definition (Médecins, infirmières, sages-femmes, agent technique de santé)",Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),EOF: End of fieldwork,2003-2018
"UNICEF:MNCH(1.0): Maternal, child and newborn health",GMB: Gambia,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,F: Female,Y15T19: 15 to 19 years old,_T: Total,_T: Total,_T: Total,_T: Total,MNCH_SRC_609: Multiple Indicator Cluster Survey 2018,2018,74.5,0: Units,PCNT: %,,ANTENATAL,,1,RP: Reported,F: Free,,,,,,,EOF: End of fieldwork,2006-2020
"UNICEF:MNCH(1.0): Maternal, child and newborn health",GMB: Gambia,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,F: Female,Y15T19: 15 to 19 years old,_T: Total,_T: Total,_T: Total,_T: Total,MNCH_SRC_902: The Gambia Demographic and Health Survey 2019-20,2020,75.8,0: Units,PCNT: %,,ANTENATAL,,1,RP: Reported,F: Free,,,,,,Statcompiler,EOF: End of fieldwork,2006-2020
"UNICEF:MNCH(1.0): Maternal, child and newborn health",GMB: Gambia,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,F: Female,Y15T49: 15 to 49 years old,_T: Total,Q1: Lowest,_T: Total,_T: Total,MNCH_SRC_609: Multiple Indicator Cluster Survey 2018,2018,70.6,0: Units,PCNT: %,,ANTENATAL,,1,RP: Reported,F: Free,,,,,,,EOF: End of fieldwork,2006-2020
"UNICEF:MNCH(1.0): Maternal, child and newborn health",GMB: Gambia,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,F: Female,Y15T49: 15 to 49 years old,_T: Total,Q1: Lowest,_T: Total,_T: Total,MNCH_SRC_902: The Gambia Demographic and Health Survey 2019-20,2020,82.3,0: Units,PCNT: %,,ANTENATAL,,1,RP: Reported,F: Free,,,,,,Statcompiler,EOF: End of fieldwork,2006-2020
"UNICEF:MNCH(1.0): Maternal, child and newborn health",GMB: Gambia,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,F: Female,Y15T49: 15 to 49 years old,_T: Total,Q2: Second,_T: Total,_T: Total,MNCH_SRC_609: Multiple Indicator Cluster Survey 2018,2018,72.2,0: Units,PCNT: %,,ANTENATAL,,1,RP: Reported,F: Free,,,,,,,EOF: End of fieldwork,2006-2020
"UNICEF:MNCH(1.0): Maternal, child and newborn health",GMB: Gambia,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,F: Female,Y15T49: 15 to 49 years old,_T: Total,Q2: Second,_T: Total,_T: Total,MNCH_SRC_902: The Gambia Demographic and Health Survey 2019-20,2020,75.3,0: Units,PCNT: %,,ANTENATAL,,1,RP: Reported,F: Free,,,,,,Statcompiler,EOF: End of fieldwork,2006-2020
"UNICEF:MNCH(1.0): Maternal, child and newborn health",GMB: Gambia,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,F: Female,Y15T49: 15 to 49 years old,_T: Total,Q3: Middle,_T: Total,_T: Total,MNCH_SRC_609: Multiple Indicator Cluster Survey 2018,2018,76.6,0: Units,PCNT: %,,ANTENATAL,,1,RP: Reported,F: Free,,,,,,,EOF: End of fieldwork,2006-2020
"UNICEF:MNCH(1.0): Maternal, child and newborn health",GMB: Gambia,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,F: Female,Y15T49: 15 to 49 years old,_T: Total,Q3: Middle,_T: Total,_T: Total,MNCH_SRC_902: The Gambia Demographic and Health Survey 2019-20,2020,74.1,0: Units,PCNT: %,,ANTENATAL,,1,RP: Reported,F: Free,,,,,,Statcompiler,EOF: End of fieldwork,2006-2020
"UNICEF:MNCH(1.0): Maternal, child and newborn health",GMB: Gambia,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,F: Female,Y15T49: 15 to 49 years old,_T: Total,Q4: Fourth,_T: Total,_T: Total,MNCH_SRC_609: Multiple Indicator Cluster Survey 2018,2018,76.2,0: Units,PCNT: %,,ANTENATAL,,1,RP: Reported,F: Free,,,,,,,EOF: End of fieldwork,2006-2020
"UNICEF:MNCH(1.0): Maternal, child and newborn health",GMB: Gambia,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,F: Female,Y15T49: 15 to 49 years old,_T: Total,Q4: Fourth,_T: Total,_T: Total,MNCH_SRC_902: The Gambia Demographic and Health Survey 2019-20,2020,76.1,0: Units,PCNT: %,,ANTENATAL,,1,RP: Reported,F: Free,,,,,,Statcompiler,EOF: End of fieldwork,2006-2020
"UNICEF:MNCH(1.0): Maternal, child and newborn health",GMB: Gambia,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,F: Female,Y15T49: 15 to 49 years old,_T: Total,Q5: Highest,_T: Total,_T: Total,MNCH_SRC_609: Multiple Indicator Cluster Survey 2018,2018,85.1,0: Units,PCNT: %,,ANTENATAL,,1,RP: Reported,F: Free,,,,,,,EOF: End of fieldwork,2006-2020
"UNICEF:MNCH(1.0): Maternal, child and newborn health",GMB: Gambia,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,F: Female,Y15T49: 15 to 49 years old,_T: Total,Q5: Highest,_T: Total,_T: Total,MNCH_SRC_902: The Gambia Demographic and Health Survey 2019-20,2020,85.4,0: Units,PCNT: %,,ANTENATAL,,1,RP: Reported,F: Free,,,,,,Statcompiler,EOF: End of fieldwork,2006-2020
"UNICEF:MNCH(1.0): Maternal, child and newborn health",GMB: Gambia,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,F: Female,Y15T49: 15 to 49 years old,_T: Total,_T: Total,R: Rural,_T: Total,MNCH_SRC_609: Multiple Indicator Cluster Survey 2018,2018,74.5,0: Units,PCNT: %,,ANTENATAL,,1,RP: Reported,F: Free,,,,,,,EOF: End of fieldwork,2006-2020
"UNICEF:MNCH(1.0): Maternal, child and newborn health",GMB: Gambia,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,F: Female,Y15T49: 15 to 49 years old,_T: Total,_T: Total,R: Rural,_T: Total,MNCH_SRC_902: The Gambia Demographic and Health Survey 2019-20,2020,83.3,0: Units,PCNT: %,,ANTENATAL,,1,RP: Reported,F: Free,,,,,,Statcompiler,EOF: End of fieldwork,2006-2020
"UNICEF:MNCH(1.0): Maternal, child and newborn health",GMB: Gambia,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,F: Female,Y15T49: 15 to 49 years old,_T: Total,_T: Total,U: Urban,_T: Total,MNCH_SRC_609: Multiple Indicator Cluster Survey 2018,2018,76.2,0: Units,PCNT: %,,ANTENATAL,,1,RP: Reported,F: Free,,,,,,,EOF: End of fieldwork,2006-2020
"UNICEF:MNCH(1.0): Maternal, child and newborn health",GMB: Gambia,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,F: Female,Y15T49: 15 to 49 years old,_T: Total,_T: Total,U: Urban,_T: Total,MNCH_SRC_902: The Gambia Demographic and Health Survey 2019-20,2020,76.1,0: Units,PCNT: %,,ANTENATAL,,1,RP: Reported,F: Free,,,,,,Statcompiler,EOF: End of fieldwork,2006-2020
"UNICEF:MNCH(1.0): Maternal, child and newborn health",GMB: Gambia,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,F: Female,Y15T49: 15 to 49 years old,_T: Total,_T: Total,_T: Total,_T: Total,MNCH_SRC_609: Multiple Indicator Cluster Survey 2018,2018,75.6,0: Units,PCNT: %,,ANTENATAL,,1,RP: Reported,F: Free,,,,,,,EOF: End of fieldwork,2006-2020
"UNICEF:MNCH(1.0): Maternal, child and newborn health",GMB: Gambia,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,F: Female,Y15T49: 15 to 49 years old,_T: Total,_T: Total,_T: Total,_T: Total,MNCH_SRC_902: The Gambia Demographic and Health Survey 2019-20,2020,78.5,0: Units,PCNT: %,,ANTENATAL,,1,RP: Reported,F: Free,,,,,,Statcompiler,EOF: End of fieldwork,2006-2020
"UNICEF:MNCH(1.0): Maternal, child and newborn health",GMB: Gambia,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,Y15T19: 15 to 19 years old,_T: Total,_T: Total,_T: Total,_T: Total,MNCH_SRC_609: Multiple Indicator Cluster Survey 2018,2018,85.6,0: Units,PCNT: %,,DELIVERY,,1,RP: Reported,F: Free,,,,,,,EOF: End of fieldwork,2000-2020
"UNICEF:MNCH(1.0): Maternal, child and newborn health",GMB: Gambia,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,Y15T19: 15 to 19 years old,_T: Total,_T: Total,_T: Total,_T: Total,MNCH_SRC_902: The Gambia Demographic and Health Survey 2019-20,2020,86.2,0: Units,PCNT: %,,DELIVERY,,1,RP: Reported,F: Free,,,,,,Statcompiler,EOF: End of fieldwork,2000-2020
"UNICEF:MNCH(1.0): Maternal, child and newborn health",GMB: Gambia,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,Y15T49: 15 to 49 years old,_T: Total,Q1: Lowest,_T: Total,_T: Total,MNCH_SRC_609: Multiple Indicator Cluster Survey 2018,2018,72.4,0: Units,PCNT: %,,DELIVERY,,1,RP: Reported,F: Free,,,,,,,EOF: End of fieldwork,2000-2020
"UNICEF:MNCH(1.0): Maternal, child and newborn health",GMB: Gambia,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,Y15T49: 15 to 49 years old,_T: Total,Q1: Lowest,_T: Total,_T: Total,MNCH_SRC_902: The Gambia Demographic and Health Survey 2019-20,2020,71.6,0: Units,PCNT: %,,DELIVERY,,1,RP: Reported,F: Free,,,,,,Statcompiler,EOF: End of fieldwork,2000-2020
"UNICEF:MNCH(1.0): Maternal, child and newborn health",GMB: Gambia,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,Y15T49: 15 to 49 years old,_T: Total,Q2: Second,_T: Total,_T: Total,MNCH_SRC_609: Multiple Indicator Cluster Survey 2018,2018,77.2,0: Units,PCNT: %,,DELIVERY,,1,RP: Reported,F: Free,,,,,,,EOF: End of fieldwork,2000-2020
"UNICEF:MNCH(1.0): Maternal, child and newborn health",GMB: Gambia,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,Y15T49: 15 to 49 years old,_T: Total,Q2: Second,_T: Total,_T: Total,MNCH_SRC_902: The Gambia Demographic and Health Survey 2019-20,2020,80.3,0: Units,PCNT: %,,DELIVERY,,1,RP: Reported,F: Free,,,,,,Statcompiler,EOF: End of fieldwork,2000-2020
"UNICEF:MNCH(1.0): Maternal, child and newborn health",GMB: Gambia,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,Y15T49: 15 to 49 years old,_T: Total,Q3: Middle,_T: Total,_T: Total,MNCH_SRC_609: Multiple Indicator Cluster Survey 2018,2018,79.4,0: Units,PCNT: %,,DELIVERY,,1,RP: Reported,F: Free,,,,,,,EOF: End of fieldwork,2000-2020
"UNICEF:MNCH(1.0): Maternal, child and newborn health",GMB: Gambia,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,Y15T49: 15 to 49 years old,_T: Total,Q3: Middle,_T: Total,_T: Total,MNCH_SRC_902: The Gambia Demographic and Health Survey 2019-20,2020,85,0: Units,PCNT: %,,DELIVERY,,1,RP: Reported,F: Free,,,,,,Statcompiler,EOF: End of fieldwork,2000-2020
"UNICEF:MNCH(1.0): Maternal, child and newborn health",GMB: Gambia,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,Y15T49: 15 to 49 years old,_T: Total,Q4: Fourth,_T: Total,_T: Total,MNCH_SRC_609: Multiple Indicator Cluster Survey 2018,2018,93.5,0: Units,PCNT: %,,DELIVERY,,1,RP: Reported,F: Free,,,,,,,EOF: End of fieldwork,2000-2020
"UNICEF:MNCH(1.0): Maternal, child and newborn health",GMB: Gambia,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,Y15T49: 15 to 49 years old,_T: Total,Q4: Fourth,_T: Total,_T: Total,MNCH_SRC_902: The Gambia Demographic and Health Survey 2019-20,2020,90.4,0: Units,PCNT: %,,DELIVERY,,1,RP: Reported,F: Free,,,,,,Statcompiler,EOF: End of fieldwork,2000-2020
"UNICEF:MNCH(1.0): Maternal, child and newborn health",GMB: Gambia,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,Y15T49: 15 to 49 years old,_T: Total,Q5: Highest,_T: Total,_T: Total,MNCH_SRC_609: Multiple Indicator Cluster Survey 2018,2018,96.5,0: Units,PCNT: %,,DELIVERY,,1,RP: Reported,F: Free,,,,,,,EOF: End of fieldwork,2000-2020
"UNICEF:MNCH(1.0): Maternal, child and newborn health",GMB: Gambia,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,Y15T49: 15 to 49 years old,_T: Total,Q5: Highest,_T: Total,_T: Total,MNCH_SRC_902: The Gambia Demographic and Health Survey 2019-20,2020,96.1,0: Units,PCNT: %,,DELIVERY,,1,RP: Reported,F: Free,,,,,,Statcompiler,EOF: End of fieldwork,2000-2020
"UNICEF:MNCH(1.0): Maternal, child and newborn health",GMB: Gambia,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,Y15T49: 15 to 49 years old,_T: Total,_T: Total,R: Rural,_T: Total,MNCH_SRC_609: Multiple Indicator Cluster Survey 2018,2018,75.4,0: Units,PCNT: %,,DELIVERY,,1,RP: Reported,F: Free,,,,,,,EOF: End of fieldwork,2000-2020
"UNICEF:MNCH(1.0): Maternal, child and newborn health",GMB: Gambia,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,Y15T49: 15 to 49 years old,_T: Total,_T: Total,R: Rural,_T: Total,MNCH_SRC_902: The Gambia Demographic and Health Survey 2019-20,2020,75.4,0: Units,PCNT: %,,DELIVERY,,1,RP: Reported,F: Free,,,,,,Statcompiler,EOF: End of fieldwork,2000-2020
"UNICEF:MNCH(1.0): Maternal, child and newborn health",GMB: Gambia,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,Y15T49: 15 to 49 years old,_T: Total,_T: Total,U: Urban,_T: Total,MNCH_SRC_609: Multiple Indicator Cluster Survey 2018,2018,87.2,0: Units,PCNT: %,,DELIVERY,,1,RP: Reported,F: Free,,,,,,,EOF: End of fieldwork,2000-2020
"UNICEF:MNCH(1.0): Maternal, child and newborn health",GMB: Gambia,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,Y15T49: 15 to 49 years old,_T: Total,_T: Total,U: Urban,_T: Total,MNCH_SRC_902: The Gambia Demographic and Health Survey 2019-20,2020,88.3,0: Units,PCNT: %,,DELIVERY,,1,RP: Reported,F: Free,,,,,,Statcompiler,EOF: End of fieldwork,2000-2020
"UNICEF:MNCH(1.0): Maternal, child and newborn health",GMB: Gambia,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,Y15T49: 15 to 49 years old,_T: Total,_T: Total,_T: Total,_T: Total,MNCH_SRC_901: The Gambia Multiple Indicator Cluster Survey 2018; Survey Findings Report. Banjul: The Gambia Bureau of Statistics (GBOS); 2019.,2018,82.7,0: Units,PCNT: %,,DELIVERY,,1,RP: Reported,F: Free,,,,,"Definition includes other cadres that is not in alignment with the standard definition (Medical doctor, nurse/midwife, auxiliary nurse)",Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),EOF: End of fieldwork,2000-2020
"UNICEF:MNCH(1.0): Maternal, child and newborn health",GMB: Gambia,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,Y15T49: 15 to 49 years old,_T: Total,_T: Total,_T: Total,_T: Total,MNCH_SRC_904: Gambia Bureau of Statistics (GBoS) and ICF. 2021. The Gambia Demographic and Health Survey 2019-20. Banjul; The Gambia and Rockville; Maryland; USA: GBoS and ICF.,2020,83.8,0: Units,PCNT: %,,DELIVERY,,1,RP: Reported,F: Free,,,,,"Cadres included align with the standard definition of: Doctor, nurse and/or midwife",Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),EOF: End of fieldwork,2000-2020
"UNICEF:MNCH(1.0): Maternal, child and newborn health",GNB: Guinea-Bissau,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,F: Female,Y15T19: 15 to 19 years old,_T: Total,_T: Total,_T: Total,_T: Total,MNCH_SRC_47: Multiple Indicator Cluster Survey 2018-2019,2019,80.6,0: Units,PCNT: %,,ANTENATAL,,1,RP: Reported,F: Free,,,,,,,EOF: End of fieldwork,2010-2019
"UNICEF:MNCH(1.0): Maternal, child and newborn health",GNB: Guinea-Bissau,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,F: Female,Y15T49: 15 to 49 years old,_T: Total,Q1: Lowest,_T: Total,_T: Total,MNCH_SRC_47: Multiple Indicator Cluster Survey 2018-2019,2019,72.9,0: Units,PCNT: %,,ANTENATAL,,1,RP: Reported,F: Free,,,,,,,EOF: End of fieldwork,2010-2019
